epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,222.686,0.54863,1.0009,0.79374,1.04701,0.5737,0.72575,0.58204,0.50898,0.5737,0.72575,0.57978,0.46041,0.71822,1.41103,1.15262,1.30411,0.00129224,0.00129224,0.00129224
31,230.076,0.5761,1.14973,0.83207,1.05491,0.59789,0.86673,0.6616,0.59236,0.59789,0.86673,0.65401,0.51022,0.6723,1.268,0.97038,1.3318,0.00128753,0.00128753,0.00128753
32,237.344,0.57482,1.06807,0.81159,1.0397,0.52871,0.8342,0.67478,0.6058,0.5176,0.77849,0.65241,0.50582,0.67701,1.78799,0.97258,1.2668,0.00128281,0.00128281,0.00128281
33,244.749,0.58991,1.05438,0.84873,1.07393,0.55393,0.61213,0.60807,0.52777,0.55712,0.61213,0.58382,0.45741,0.8275,2.29836,1.16713,1.42166,0.0012781,0.0012781,0.0012781
34,252.01,0.59422,1.09627,0.83855,1.05481,0.47287,0.60822,0.53991,0.46343,0.46939,0.55703,0.5062,0.36226,0.94993,2.8122,1.66224,1.66421,0.00127338,0.00127338,0.00127338
35,259.29,0.59856,1.05852,0.87534,1.05692,0.57583,0.7146,0.61518,0.5424,0.57583,0.7146,0.60503,0.49363,0.60374,1.22212,0.94952,1.20026,0.00126867,0.00126867,0.00126867
36,266.524,0.51523,0.92357,0.80542,1.01055,0.48441,0.85294,0.59246,0.5219,0.48441,0.85294,0.58585,0.48671,0.61993,1.18441,1.07439,1.22261,0.00126395,0.00126395,0.00126395
37,273.804,0.57285,1.05852,0.76679,1.0292,0.5952,0.77298,0.60647,0.52588,0.5952,0.77298,0.5961,0.47217,0.75067,1.59337,1.22094,1.3924,0.00125923,0.00125923,0.00125923
38,281.1,0.57349,1.02636,0.80193,1.0642,0.55597,0.71783,0.61426,0.53662,0.55597,0.71783,0.60962,0.46529,0.74388,1.80955,1.04824,1.45546,0.00125452,0.00125452,0.00125452
39,288.359,0.56196,0.95851,0.74619,1.03693,0.5199,0.89621,0.59801,0.54081,0.5199,0.89621,0.59202,0.49169,0.61143,1.24384,0.8922,1.15184,0.0012498,0.0012498,0.0012498
40,295.639,0.57077,1.01361,0.76006,1.03888,0.45732,0.82169,0.56006,0.48743,0.44584,0.79228,0.54392,0.4403,0.66675,1.25209,1.0629,1.24191,0.00124509,0.00124509,0.00124509
41,302.942,0.55814,0.98187,0.76644,1.04943,0.49346,0.86673,0.60618,0.53997,0.4958,0.83732,0.58486,0.47231,0.62117,1.45963,1.02441,1.16498,0.00124037,0.00124037,0.00124037
42,310.201,0.55766,0.9327,0.78645,1.02908,0.47591,0.8511,0.59619,0.53548,0.45498,0.80815,0.56374,0.45437,0.67331,1.39325,1.07546,1.29741,0.00123566,0.00123566,0.00123566
43,317.533,0.54279,0.96966,0.75187,1.01951,0.54765,0.80321,0.60494,0.5232,0.5227,0.74438,0.55286,0.43743,0.75732,2.59764,1.63943,1.59,0.00123094,0.00123094,0.00123094
44,324.788,0.52011,0.84808,0.73968,0.9941,0.54997,0.88235,0.63889,0.5638,0.53978,0.82353,0.61123,0.50582,0.63589,1.48796,0.8751,1.30053,0.00122622,0.00122622,0.00122622
45,332.064,0.52294,0.83325,0.74779,1.02353,0.61314,0.87868,0.6459,0.56141,0.58448,0.79044,0.60543,0.49263,0.60983,1.29243,0.98623,1.17911,0.00122151,0.00122151,0.00122151
46,339.322,0.51556,0.92113,0.73384,1.01678,0.56568,0.94815,0.60685,0.54443,0.54565,0.86004,0.55663,0.48114,0.57819,1.24265,0.96987,1.17289,0.00121679,0.00121679,0.00121679
47,346.644,0.5162,0.9282,0.75971,1.0168,0.59289,0.71783,0.6698,0.60697,0.59289,0.71783,0.66071,0.50557,0.60032,1.20284,0.89651,1.16932,0.00121208,0.00121208,0.00121208
48,354.02,0.47413,0.78594,0.69651,0.9903,0.58289,0.74908,0.62028,0.54792,0.56357,0.71967,0.56876,0.47152,0.74425,1.55206,0.94638,1.4255,0.00120736,0.00120736,0.00120736
49,361.302,0.50518,0.8289,0.65098,0.98997,0.53544,0.80565,0.61317,0.55771,0.5584,0.68658,0.58193,0.47684,0.68019,1.3661,1.02337,1.38342,0.00120265,0.00120265,0.00120265
50,368.518,0.49277,0.90984,0.71342,0.99477,0.49507,0.79412,0.63781,0.58771,0.48036,0.76471,0.59454,0.50013,0.50101,1.32153,0.84095,1.05372,0.00119793,0.00119793,0.00119793
51,375.825,0.51625,0.86475,0.70997,1.00718,0.49801,0.88235,0.62608,0.55532,0.49847,0.88235,0.61506,0.49709,0.54148,1.17695,0.80918,1.12066,0.00119322,0.00119322,0.00119322
52,383.097,0.47955,0.83532,0.62292,0.97976,0.54604,0.85294,0.6464,0.58721,0.53181,0.82353,0.61913,0.51488,0.52155,1.13639,0.78894,1.09935,0.0011885,0.0011885,0.0011885
53,390.368,0.5076,0.89322,0.6891,1.02215,0.45567,0.82353,0.60201,0.5423,0.47131,0.82353,0.58431,0.48203,0.62732,1.29542,0.97767,1.21755,0.00118378,0.00118378,0.00118378
54,397.64,0.50882,0.89664,0.69527,1.00516,0.55119,0.8139,0.6313,0.56932,0.55119,0.8139,0.62978,0.51348,0.60831,1.08138,0.84723,1.19727,0.00117907,0.00117907,0.00117907
55,404.903,0.47531,0.81268,0.61291,0.98834,0.49208,0.74908,0.63995,0.58076,0.49208,0.74908,0.62495,0.50287,0.55237,1.24756,0.86848,1.09495,0.00117435,0.00117435,0.00117435
56,412.175,0.53192,0.93169,0.67463,1.00906,0.58745,0.76287,0.63984,0.56784,0.58745,0.76287,0.62851,0.50529,0.67357,1.14543,0.96227,1.29194,0.00116964,0.00116964,0.00116964
57,419.446,0.53528,0.93099,0.67049,1.02887,0.63812,0.61721,0.65242,0.58881,0.5319,0.73162,0.59477,0.4767,0.73307,1.33661,1.0174,1.37144,0.00116492,0.00116492,0.00116492
58,426.671,0.51247,0.90176,0.68637,1.0058,0.53122,0.78823,0.61695,0.54788,0.53122,0.78823,0.60926,0.4709,0.71073,1.56582,1.13414,1.4167,0.00116021,0.00116021,0.00116021
59,433.993,0.47814,0.8871,0.67287,1.00011,0.54071,0.85294,0.63915,0.58447,0.54071,0.85294,0.63209,0.48956,0.58735,1.45419,0.93665,1.19628,0.00115549,0.00115549,0.00115549
60,441.211,0.46361,0.7698,0.6187,0.98036,0.51151,0.8209,0.62,0.55791,0.51276,0.81826,0.61209,0.48967,0.5057,1.58967,0.8753,1.14867,0.00115077,0.00115077,0.00115077
61,448.447,0.46357,0.78984,0.61957,0.96928,0.46023,0.73529,0.60721,0.5484,0.46023,0.73529,0.60045,0.49109,0.58188,1.25798,0.91794,1.1723,0.00114606,0.00114606,0.00114606
62,455.734,0.45588,0.816,0.6299,0.99201,0.52098,0.7861,0.63832,0.57849,0.61869,0.66085,0.62027,0.49101,0.62512,1.31,0.85493,1.18878,0.00114134,0.00114134,0.00114134
63,463.018,0.46537,0.86943,0.6621,1.00683,0.53342,0.92555,0.64984,0.56537,0.5229,0.71967,0.62255,0.47558,0.64259,1.88524,0.83079,1.2189,0.00113663,0.00113663,0.00113663
64,470.258,0.46775,0.81824,0.65578,0.98517,0.56101,0.74417,0.63581,0.57716,0.56101,0.74417,0.61482,0.47898,0.58273,1.50219,0.93884,1.18653,0.00113191,0.00113191,0.00113191
65,477.526,0.46498,0.78885,0.63004,0.99161,0.60397,0.77849,0.64865,0.59728,0.61826,0.74908,0.63209,0.5143,0.50968,1.13865,0.81402,1.07366,0.0011272,0.0011272,0.0011272
66,484.799,0.44765,0.76847,0.58745,0.95344,0.63593,0.7266,0.67228,0.61004,0.61307,0.69805,0.62898,0.50505,0.72996,1.80086,1.11953,1.61784,0.00112248,0.00112248,0.00112248
67,492.043,0.46157,0.79301,0.59461,0.97886,0.60162,0.71599,0.64866,0.57593,0.57458,0.68658,0.60625,0.48508,0.77645,1.66441,1.12022,1.45983,0.00111776,0.00111776,0.00111776
68,499.307,0.47274,0.76471,0.56706,0.98646,0.58857,0.77665,0.6518,0.58793,0.58857,0.77665,0.64334,0.5054,0.69825,1.20765,0.95199,1.34894,0.00111305,0.00111305,0.00111305
